WordID,DocIDs
85,28
84,28
83,27
82,27
81,27
80,26
79,26
78,24
77,22 23 24
76,22 23
75,22 23
74,22 23
73,21
72,21 22 23 24
71,20
70,20
69,19 25 27
68,18
67,18
66,18 20
65,16
64,16
63,12 13 14 17
62,11 19 25
61,11 12 19 21 22 23 24 25
60,11 19 22 23 24 25
29,3 14
28,3 14
27,3 14
26,2 4 6 8 11 12 13 16 19 20 21 22 23 24 25
25,2 4 6 12 13 16 21 24
24,2 4 5 6 8 12 13 16 19 20 21 22 23 25
23,2 3 4 6 8 12 13 16 21 24
22,2 3 4 6 8 12 13 16 19 20 21 22 23 24 25
21,2 3 4 5 6 8 9 12 13 16 21 24
20,2 3 4 5 6 8 9 12 13 16 21 24
19,2 3 4 5 6 8 9 10 12 13 14 15 16 17 26 27
18,2 4
17,2 21
16,2 21
15,1 7 11 18 19 20 21 22 23 24 25 28
14,1 7 11 18 19 20 21 22 23 24 25 28
1,1 8 12 28
2,1 7 11 18 19 20 21 22 23 24 25
3,1 7 11 18 19 20 22 23 25
4,1 7 11 18 19 20 22 23 25
5,1 7 11 18
6,1 2 3 4 6 7 8 11 12 13 16 18 19 20 21 22 23 24 25
7,1 7 11 18 19 20 22 23 25
8,1 2 4 6 7 8 11 12 13 16 18 19 20 21 22 23 24 25
9,1 7 18 19 24
10,1 2 4 6 7 8 11 12 13 16 18 19 20 21 22 23 24 25
11,1 7
12,1 7 11 18 19 20 21 22 23 24 25 28
13,1 7 11 18 19 20 21 22 23 24 25 28
30,4 15 17
31,5 7 9 10 11 13 15 16 17 18 20
32,5
33,5
34,6
35,8
36,8
37,9
38,9
39,10 11 15 16 18 20 21 23 24 25 27 28
40,10
41,11 18 24
42,11 18 19 20 22 23 25
43,11 18 19 20 21 22 23 24 25
44,11 18 19 20 21 22 23 24 25
45,11 18 19 20 21 22 23 24 25
46,11 12 13 18 19 20 21 22 23 24 25
47,11 18 19 20 21 22 23 24 25
48,11 18 19 20 21 22 23 24 25
49,11 18 19 20 21 22 23 24 25
50,11 18 19 20 21 22 23 24 25
51,11 18 19 20 21 22 23 24 25
52,11 12 13 19 21 22 23 24 25
53,11 19 21 22 23 24 25
54,11 19 21 22 23 24 25
55,11 19 21 22 23 24 25
56,11 19 21 22 23 24 25
57,11 19 21 22 23 24 25
58,11 19 21 22 23 24 25
59,11 19 21 22 23 24 25
