Word,ID
counterstrike,1
englishstrongstrong,2
frenchstrongstrong,3
germanstrongstrong,4
italianstrongstrong,5
spanish,6
spainstrongstrong,7
simplified,8
chinesestrongstrong,9
traditional,10
koreanstrongstrongbrstrongstronglanguages,11
with,12
full,13
audio,14
support,15
team,16
fortress,17
classic,18
english,19
french,20
german,21
italian,22
spain,23
korean,24
russian,25
chinese,26
day,27
of,28
defeat,29
deathmatch,30
halflife,31
opposing,32
force,33
ricochet,34
condition,35
zero,36
blue,37
shift,38
2,39
demo,40
koreanstrongstrong,41
russianstrongstrong,42
dutch,43
danish,44
finnish,45
japanese,46
norwegian,47
polish,48
portuguese,49
portugal,50
swedish,51
thai,52
bulgarian,53
czech,54
greek,55
hungarian,56
brazil,57
romanian,58
latin,59
america,60
turkish,61
ukrainianbrstrongstronglanguages,62
source,63
lost,64
coast,65
episode,66
one,67
thaistrongstrongbrstrongstronglanguages,68
portal,69
two,70
chinesebrstrongstronglanguages,71
ukrainian,72
americabrstrongstronglanguages,73
left,74
4,75
dead,76
vietnamesebrstrongstronglanguages,77
dota,78
alien,79
swarm,80
sixense,81
motionpack,82
dlc,83
strongstrong,84
brstrongstronglanguages,85
